trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
153,0,153,0,102.56993543333422,None,u,0.7699780000002647,102.55861100000038,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
154,0,154,0,103.37018613333251,None,u,1.8319044999989273,103.35881900000095,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
155,0,155,0,105.22438373333401,None,u,0.8226190999994287,105.21352579999802,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
156,0,156,0,106.09117383333117,None,u,0.384365699999762,106.08106820000103,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
157,0,157,0,106.50487223333451,None,d,1.9047972000007576,106.49487500000032,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
158,0,158,0,108.43883673333451,None,d,0.11044449999826611,108.42794270000013,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
159,0,159,0,108.57228913333213,None,d,0.11063149999972666,108.5624147999988,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
160,0,160,0,108.70589813333257,None,d,0.1109641000002739,108.69684069999857,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
161,0,161,0,108.85202683333458,None,d,0.11181070000020554,108.84405909999987,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
162,0,162,0,108.99899393333229,None,d,0.09558649999962654,108.99032599999919,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
163,0,163,0,109.11945293333386,None,d,0.12454149999757647,109.11083370000051,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
164,0,164,0,109.27876813333253,None,d,0.10112970000045607,109.27296529999876,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
165,0,165,0,109.41225073333456,None,d,0.10092749999967054,109.40666200000123,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
166,0,166,0,109.54570263333201,None,d,0.11543539999911445,109.53517360000114,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
167,0,167,0,109.70583743333239,None,d,0.09724450000067009,109.69611839999925,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
168,0,168,0,109.83915743333321,None,d,0.10830039999927976,109.8291664999997,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
169,0,169,0,109.97274913333288,None,u,1.194660199998907,109.96304940000118,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
170,0,170,0,111.20011603333162,None,u,1.0672862000028545,111.18967960000009,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
171,0,171,0,112.29340203333462,None,None,,112.28394929999922,None,,001,2020_Oct_16_1630,temp,2020.1.3,None,
172,0,172,0,117.29210626666487,None,u,1.2538616000019829,117.29378780000116,117.29378780000116,,001,2020_Oct_16_1630,temp,2020.1.3,None,
