3.3014 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
62.5042 	EXP 	question_text: autoDraw = False
62.5042 	EXP 	level_text: autoDraw = False
62.5042 	EXP 	level_text: text = 0.00794328234724281
62.5042 	EXP 	question_text: autoDraw = True
62.5042 	EXP 	level_text: autoDraw = True
62.6422 	DATA 	Keypress: up
62.6712 	EXP 	question_text: autoDraw = False
62.6712 	EXP 	level_text: autoDraw = False
62.6712 	EXP 	level_text: text = 0.008912509381337448
62.6712 	EXP 	question_text: autoDraw = True
62.6712 	EXP 	level_text: autoDraw = True
62.7972 	DATA 	Keypress: up
62.8043 	EXP 	question_text: autoDraw = False
62.8043 	EXP 	level_text: autoDraw = False
62.8043 	EXP 	level_text: text = 0.009999999999999992
62.8043 	EXP 	question_text: autoDraw = True
62.8043 	EXP 	level_text: autoDraw = True
62.9310 	DATA 	Keypress: up
62.9380 	EXP 	question_text: autoDraw = False
62.9380 	EXP 	level_text: autoDraw = False
62.9380 	EXP 	level_text: text = 0.011220184543019623
62.9380 	EXP 	question_text: autoDraw = True
62.9380 	EXP 	level_text: autoDraw = True
63.0590 	DATA 	Keypress: up
63.0879 	EXP 	question_text: autoDraw = False
63.0879 	EXP 	level_text: autoDraw = False
63.0879 	EXP 	level_text: text = 0.01258925411794166
63.0879 	EXP 	question_text: autoDraw = True
63.0879 	EXP 	level_text: autoDraw = True
63.1925 	DATA 	Keypress: up
63.2216 	EXP 	question_text: autoDraw = False
63.2216 	EXP 	level_text: autoDraw = False
63.2216 	EXP 	level_text: text = 0.014125375446227528
63.2216 	EXP 	question_text: autoDraw = True
63.2216 	EXP 	level_text: autoDraw = True
63.3321 	DATA 	Keypress: up
63.3383 	EXP 	question_text: autoDraw = False
63.3383 	EXP 	level_text: autoDraw = False
63.3383 	EXP 	level_text: text = 0.015848931924611117
63.3383 	EXP 	question_text: autoDraw = True
63.3383 	EXP 	level_text: autoDraw = True
63.4816 	DATA 	Keypress: up
63.4884 	EXP 	question_text: autoDraw = False
63.4884 	EXP 	level_text: autoDraw = False
63.4884 	EXP 	level_text: text = 0.017782794100389205
63.4884 	EXP 	question_text: autoDraw = True
63.4884 	EXP 	level_text: autoDraw = True
63.6097 	DATA 	Keypress: up
63.6387 	EXP 	question_text: autoDraw = False
63.6387 	EXP 	level_text: autoDraw = False
63.6387 	EXP 	level_text: text = 0.019952623149688768
63.6387 	EXP 	question_text: autoDraw = True
63.6387 	EXP 	level_text: autoDraw = True
