trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
546,0,546,0,,,,,,,115.0555520333078,None,u,0.09880620002513751,115.05751979997149,None,115.05751979997149,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
547,0,547,0,,,,,,,115.18911373330823,None,u,0.11630569997942075,115.19265059998725,None,115.19265059998725,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
548,0,548,0,,,,,,,115.35078443331489,None,u,0.09488820005208254,115.35451929998817,None,115.35451929998817,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
549,0,549,0,,,,,,,115.48423693329872,None,u,0.10757829999784008,115.49000059999526,None,115.49000059999526,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
550,0,550,0,,,,,,,115.63099123328769,None,u,0.12353390001226217,115.63552559999516,None,115.63552559999516,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
551,0,551,0,,,,,,,115.81673303328765,None,u,0.09255239996127784,115.81930999999167,None,115.81930999999167,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
552,0,552,0,,,,,,,115.94909503329157,None,u,0.12175990000832826,115.95433809998212,None,115.95433809998212,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
553,0,553,0,,,,,,,116.11037053331577,None,u,0.1165927000110969,116.11716460000025,None,116.11716460000025,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
554,0,554,0,,,,,,,116.28294203332237,None,u,0.11224650003714487,116.28576349996729,None,116.28576349996729,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
555,0,555,0,,,,,,,116.43043563329459,None,u,0.11714119999669492,116.43531939998502,None,116.43531939998502,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
556,0,556,0,,,,,,,116.58950643329493,None,u,0.11951569997472689,116.5933398999623,None,116.5933398999623,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
557,0,557,0,,,,,,,116.7493427333034,None,u,0.11885019997134805,116.75303759996314,None,116.75303759996314,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
558,0,558,0,,,,,,,116.90949253331249,None,u,0.1149281999678351,116.91292679996695,None,116.91292679996695,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
559,0,559,0,,,,,,,117.06983223331238,None,u,0.07034049998037517,117.07314079999924,None,117.07314079999924,None,,0.2,001,2020_Oct_19_1325,temp,2020.1.3,None,
