trials.thisTrialN,trials.stepSize,trials.intensity,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,trials.response,key_resp.rt,key_resp.started,key_resp.stopped,question_text.started,question_text.stopped,level_text.started,level_text.stopped,participant,input,session,date,expName,psychopyVersion,frameRate,
9,0.1,0.6309573444801934,,,,,,,31.117126966655874,None,0,1.9347712000017054,31.113995699968655,None,31.113995699968655,None,31.113995699968655,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
10,0.1,0.7943282347242817,,,,,,,33.064624666647674,None,0,5.020532099995762,33.07466589997057,None,33.07466589997057,None,33.07466589997057,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
11,0.05,1,,,,,,,38.132899866617905,None,1,0.46669390000170097,38.12969359999988,None,38.12969359999988,None,38.12969359999988,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
12,0.05,0.8912509381337456,,,,,,,38.613148366628835,None,1,0.32305010000709444,38.61113779997686,None,38.61113779997686,None,38.61113779997686,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
13,0.05,0.7943282347242816,,,,,,,38.959968166662534,None,1,0.239731399982702,38.95745779998833,None,38.95745779998833,None,38.95745779998833,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
14,0.05,0.707945784384138,,,,,,,39.21362676663945,None,1,0.12547140003880486,39.21060339995893,None,39.21060339995893,None,39.21060339995893,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
15,0.05,0.6309573444801934,,,,,,,39.360097566623395,None,1,0.124615500040818,39.358963799953926,None,39.358963799953926,None,39.358963799953926,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
16,0.05,0.5623413251903492,,,,,,,39.50662996666894,None,1,0.12658539996482432,39.516839599993546,None,39.516839599993546,None,39.516839599993546,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
17,0.05,0.5011872336272725,,,,,,,39.66696066665851,None,1,0.11639450001530349,39.66383689997019,None,39.66383689997019,None,39.66383689997019,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
18,0.05,0.4466835921509633,,,,,,,39.80034336663472,None,1,0.13511209998978302,39.79729919997044,None,39.79729919997044,None,39.79729919997044,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
19,0.05,0.3981071705534975,,,,,,,39.947393366663405,None,0,0.3144173999899067,39.944788499968126,None,39.944788499968126,None,39.944788499968126,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
20,0.05,0.4466835921509633,,,,,,,40.28058246663228,None,0,0.13906409998890013,40.277888499957044,None,40.277888499957044,None,40.277888499957044,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
21,0.05,0.5011872336272725,,,,,,,40.440734866661174,None,0,0.09391929995035753,40.450587899948005,None,40.450587899948005,None,40.450587899948005,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
22,0.05,0.5623413251903492,,,,,,,40.56043236662323,None,0,0.11959969997406006,40.557445999991614,None,40.557445999991614,None,40.557445999991614,None,,0.2,001,2020_Oct_19_1527,temp,2020.1.3,None,
