trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,input,session,date,expName,psychopyVersion,frameRate,
61,0,61,0,,,,,,,137.67571709998884,None,u,137.6749104000046,None,0.09704789996612817,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
62,0,62,0,,,,,,,137.8056905333147,None,u,137.80541309999535,None,0.10227019997546449,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
63,0,63,0,,,,,,,137.94016803336177,None,u,137.93905709998216,None,0.13046670000767335,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
64,0,64,0,,,,,,,138.11184153334085,None,u,138.10772750002798,None,0.12292930000694469,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
65,0,65,0,,,,,,,138.27174003335728,None,u,138.2676089000306,None,0.11804809997556731,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
66,0,66,0,,,,,,,138.4183555333371,None,u,138.41335679998156,None,0.1351067999494262,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
67,0,67,0,,,,,,,138.62363470003476,None,u,138.61931410001125,None,0.08499949995893985,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
68,0,68,0,,,,,,,138.7389034333251,None,u,138.73681109998142,None,0.132731799967587,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
69,0,69,0,,,,,,,138.91222073336445,None,u,138.91330670000752,None,0.11384710000129417,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
70,0,70,0,,,,,,,139.07261143334523,None,u,139.06735660001868,None,0.1583247000235133,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
71,0,71,0,,,,,,,139.2723107333373,None,u,139.26450719998684,None,0.12572259997250512,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
72,0,72,0,,,,,,,139.43181713333666,None,u,139.4283292000182,None,0.12777530000312254,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
73,0,73,0,,,,,,,139.60525663331697,None,u,139.60659899999155,None,0.11580919998232275,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
74,0,74,0,,,,,,,139.7839088000008,None,u,139.78102689998923,None,0.09557679999852553,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
75,0,75,0,,,,,,,139.9129556333142,None,u,139.91452160000335,None,0.12421639997046441,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
76,0,76,0,,,,,,,140.0723297333539,None,u,140.0698771000025,None,0.12875840003835037,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
77,0,77,0,,,,,,,140.23254573334322,None,u,140.22861220000777,None,0.22333289997186512,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
78,0,78,0,,,,,,,140.48564493336795,None,u,140.48036909999792,None,0.13819690002128482,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
79,0,79,0,,,,,,,140.66129533336112,None,u,140.65430890000425,None,0.4055633000098169,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
80,0,80,0,,,,,,,141.10084463336585,None,u,141.09265489998506,None,0.6562350000021979,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
81,0,81,0,,,,,,,141.79346783331908,None,u,141.78352719999384,None,0.783762100036256,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
82,0,82,0,,,,,,,142.6199245333633,None,u,142.61143510002876,None,0.14987689995905384,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
83,0,83,0,,,,,,,142.7932683333134,None,u,142.7839030000032,None,0.15032449999125674,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
84,0,84,0,,,,,,,142.96730763332067,None,u,142.9587434999994,None,0.3745702999876812,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
85,0,85,0,,,,,,,143.36667563336283,None,u,143.35800380003639,None,0.47288810001919046,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
86,0,86,0,,,,,,,143.87386343332088,None,u,143.86239610001212,None,0.5106296999729238,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
87,0,87,0,,,,,,,144.40789193334837,None,u,144.39779190003173,None,0.868102100037504,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
88,0,88,0,,,,,,,145.30164523336185,None,u,145.29361699998844,None,0.768537700001616,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
89,0,89,0,,,,,,,146.11503063335164,None,u,146.10732000001008,None,0.39538589998846874,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
90,0,90,0,,,,,,,146.5413426333185,None,u,146.53166149999015,None,0.928572200005874,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
91,0,91,0,,,,,,,147.51508143335428,None,u,147.50937640003394,None,0.39198239997494966,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
92,0,92,0,,,,,,,147.94161203335585,None,None,147.93299320002552,152.93717490002746,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
93,0,93,0,,,,,,,152.97050823336082,None,u,152.9646046999842,None,0.018419800035189837,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
94,0,94,0,,,,,,,153.02387823334044,None,u,153.0248636000324,None,0.6009243999724276,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
95,0,95,0,,,,,,,153.66392813332692,None,u,153.65452129999176,None,0.9955211000051349,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
96,0,96,0,,,,,,,154.69144073333206,None,u,154.68109120003646,None,0.6090098000131547,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
97,0,97,0,,,,,,,155.3313347333538,None,u,155.32004279998364,None,0.47391960001550615,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
98,0,98,0,,,,,,,155.8380924333547,None,u,155.82746250001946,None,0.10944410000229254,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
99,0,99,0,,,,,,,155.9720161333176,None,u,155.9623643999803,None,0.13611139997374266,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
100,0,100,0,,,,,,,156.13146413333794,None,u,156.12097350001568,None,0.13199349999194965,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
101,0,101,0,,,,,,,156.30500353332224,None,u,156.294263400021,None,0.09696059999987483,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
102,0,102,0,,,,,,,156.438510033368,None,u,156.42835760000162,None,0.10860279999906197,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
103,0,103,0,,,,,,,156.5720881333187,None,None,156.56135249999352,None,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
104,0,104,0,,,,,,,161.5838601666658,None,None,161.58494979998795,161.58494979998795,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
105,0,105,0,,,,,,,166.601991433367,166.59247770003276,None,166.59247770003276,166.59247770003276,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
106,0,106,0,,,,,,,171.6005190666804,None,None,171.60450560000027,171.60450560000027,,,0.2,001,2020_Oct_19_1316,temp,2020.1.3,None,
